StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   196010,    2.4,  54.77,    -.4,    .73,    .55,   -.23,     57,    271,    .33,   -.12,     .1,   -.27,    -.4,   -.62,   -.37,  42.26,  67.28,
      110,      00,   196011,   2.05,  42.73,   -.63,   -.63,   -.82,   -.63,     15,    532,   -.29,    .03,   -.24,   -.36,   -.69,   -.49,   -.41,  31.39,  54.05,
      110,      00,   196012,    1.9,   30.4,  -1.05,  -1.05,  -1.44,  -1.05,      3,    953,   -.85,   -.73,    -.4,   -.45,   -.69,   -.62,   -.19,  20.08,  40.69,
      110,      00,   196101,   1.48,  29.71,  -1.83,  -1.83,  -2.68,  -1.83,      3,    996,  -1.65,   -1.6,  -1.38,   -.85,   -.89,   -.89,   -.36,  18.19,  41.25,
      110,      00,   196102,   2.78,  37.42,    .39,  -1.25,   1.17,   -.62,      8,    684,   1.45,   -.18,   -.69,   -.59,   -.61,   -.84,   -.22,  26.33,  48.51,
      110,      00,   196103,   3.16,  43.47,    .81,   -.67,   1.38,    .65,     21,    582,   1.33,   1.76,    .64,    .07,   -.09,    -.4,    .04,  32.52,  54.41,
      110,      00,   196104,    2.3,  48.67,    .84,    .84,    .36,    .84,     20,    428,   -.48,    .65,   1.21,   -.17,   -.12,   -.32,    .08,  36.34,     61,
      110,      00,   196105,   2.88,  58.87,    .93,    .93,    .52,    .93,     75,    213,   -.04,   -.32,    .44,   -.15,   -.25,   -.32,   -.04,  46.04,  71.69,
      110,      00,   196106,   2.92,  69.49,    .81,    .81,   -.09,    .81,    190,     33,   -.11,   -.12,   -.32,    .12,   -.17,   -.24,    .03,  55.94,  83.03,
      110,      00,   196107,   3.11,  73.24,    1.2,    1.2,   1.43,    1.2,    300,      7,    .88,    .39,    .21,    .91,   -.11,   -.07,    .06,  60.17,  86.29,
      110,      00,   196108,   2.62,   72.7,   1.21,   1.21,     .4,   1.21,    277,     10,    .02,    .52,    .31,    .41,   -.03,   -.15,    .04,  59.85,  85.53,
      110,      00,   196109,   2.94,  63.41,   1.71,   1.71,   1.88,   1.71,    174,     57,      1,    .72,    .99,     .3,    .55,    .16,    .05,  51.15,  75.67,
      110,      00,   196110,   1.78,  53.85,    1.3,    1.3,   -.72,    .87,     43,    259,   -.72,    .01,   -.01,    .13,     .7,    -.1,   -.45,  40.69,  66.97,
      110,      00,   196111,   2.59,   40.5,   1.52,   1.52,   1.08,   1.52,     12,    561,     .6,   -.06,    .34,    .38,    .47,    .13,   -.19,  30.18,  50.81,
      110,      00,   196112,   2.69,  31.08,   1.83,   1.83,   1.39,   1.83,      6,    870,    .57,    .77,    .21,    .62,     .3,     .5,      0,  21.49,  40.69,
      110,      00,   196201,   2.21,  26.96,   2.07,   2.07,    1.3,   2.07,      6,    994,   -.09,    .31,    .58,    .37,    .41,     .8,      0,  16.11,  37.83,
      110,      00,   196202,   2.55,  34.92,   2.41,   2.41,   1.64,   2.41,     14,    750,    .98,    .56,     .8,    .71,     .7,    .73,    .01,  24.17,  45.68,
      110,      00,   196203,   2.15,   37.9,   -.09,   2.07,   -.28,   1.88,      8,    708,   -.72,    .19,    .06,     .2,    .54,    .26,      0,  26.91,   48.9,
      110,      00,   196204,    2.1,  51.84,   -.52,   1.41,  -1.32,     .6,     26,    352,   -.97,  -1.12,   -.31,    .27,    .17,    .22,   -.02,  38.71,  64.98,
      110,      00,   196205,   2.69,  62.24,   -.91,    .83,  -1.33,   -.57,    142,    135,   -.44,   -.91,  -1.06,   -.23,    .03,    .11,    -.1,  49.57,  74.91,
      110,      00,   196206,   3.21,  67.91,   -.44,   1.12,   1.13,    .21,    198,     41,    .57,    .02,   -.42,   -.32,   -.11,    .22,    .03,  55.17,  80.64,
      110,      00,   196207,   2.91,  72.07,   -.06,   1.33,    .99,    .78,    275,     17,    .31,    .54,     .1,   -.21,    .16,    .11,    .08,  59.14,  84.97,
      110,      00,   196208,   2.04,  72.12,   -.53,    .72,  -1.43,   -.36,    284,     17,   -1.7,    -.9,   -.33,   -.92,   -.37,   -.13,   -.13,  58.23,  86.02,
      110,      00,   196209,   2.78,  64.18,   -.12,   1.01,   1.08,    .31,    137,     99,    .64,   -.47,   -.24,   -.47,   -.39,   -.21,    .01,   51.3,  77.05,
      110,      00,   196210,   2.33,  56.12,    -.1,    .91,    .03,    .22,     61,    248,    .22,    .48,   -.21,   -.07,   -.28,    .05,   -.01,  43.77,  68.45,
      110,      00,   196211,   2.05,  43.18,    -.4,    -.4,   -.95,    -.4,      7,    576,   -.29,   -.05,    .21,   -.06,   -.57,   -.21,      0,  32.32,  54.01,
